Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
1335 W Taylor St 1335 W Taylor St,Chicago,IL60607–Little Italy,4,2,4000,2200,1.8181818181818181,69,
1132 S Delano Ct Unit W713 Chicago,IL60605–South Loop,1,1,2675,,0,97,
653 S Financial Pl Chicago,IL60605–South Loop,Studio,1,1810,,0,100,
124 W Polk St Unit 105 Chicago,IL60605–South Loop,3,2,3500,,0,100,
1075 W Roosevelt Rd Unit 309 Chicago,IL60608–University Village,2,2,2500,1264,1.9778481012658229,69,
1453 W Flournoy St Unit 1 Chicago,IL60607–University Village,2,1,1850,900,2.0555555555555554,71,
1061 W Jackson Blvd 1061 W Jackson Blvd,Chicago,IL60607–West Loop,2,1,2395,684,3.5014619883040936,80,
1311 W Randolph St Unit 209 Chicago,IL60607–Fulton Market,2,2,2666,930,2.8666666666666667,73,
354 N Union Ave Unit Deluxe Two Bedroom Suite #5.1341716 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
1225 W Cottage Plz Chicago,IL60607–West Loop,3,3,3950,1850,2.135135135135135,75,
23 N Racine Ave Unit 406 Chicago,IL60607–Fulton Market,2,2,3400,1600,2.125,76,
1450 W Randolph St Unit 1 Chicago,IL60607–West Loop,2,2,3779,1111,3.4014401440144013,73,
1500 W Monroe St Unit 00515 Chicago,IL60607–West Loop,1,1,2000,900,2.2222222222222223,75,
1222 W Jackson Blvd Unit 617 Chicago,IL60607–West Loop,1,1,2603,762,3.416010498687664,77,
1360 W Hubbard St Unit 3W Chicago,IL60642–West Loop,3,2,4995,,0,74,
6 S Laflin St Unit 920 Chicago,IL60607–Fulton Market,2,1,2375,,0,75,
910 W Madison St Unit 809 Chicago,IL60607–West Loop,1,1,2300,910,2.5274725274725274,87,
333 N Green St 333 N Green St,Chicago,IL60607–Fulton Market,1,1,2114,488,4.331967213114754,84,
411 N Halsted St 411 N Halsted St,Chicago,IL60642–West Loop,2,2,2114,488,4.331967213114754,85,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,1975,710,2.7816901408450705,100,
851 W Madison St Unit 409S Chicago,IL60607–West Loop,1,1,2955,725,4.075862068965518,87,
740 W Fulton St Unit 01209 Chicago,IL60661–Fulton Market,2,2,3200,1050,3.0476190476190474,84,
100 S Ashland Ave Unit 211 Chicago,IL60612–Near West Side,1,1,1950,850,2.2941176470588234,75,
935 W Randolph St Unit PH Chicago,IL60607–Fulton Market,3,2.5,7500,2500,3.0,83,
1518 W Monroe St Unit 009 Chicago,IL60607–West Loop,1,1,2100,531,3.9548022598870056,75,
2 bedroom in Chicago IL 60607 1431 W Flournoy St,Chicago,IL60607–Little Italy,2,1,1350,,0,71,
933 W Van Buren St Unit 00816 Chicago,IL60607–West Loop,2,2,3200,1211,2.642444260941371,83,
725 S Clark St Unit 801 Chicago,IL60605–South Loop,1,1,2290,,0,100,
River City 800 S Wells St,Chicago,IL60607–South Loop,4,3.5,1769,567,3.119929453262787,100,
232 S Halsted St Unit 1406 Chicago,IL60661–West Loop,2,2,3492,1005,3.4746268656716417,89,
1061 W Van Buren St Unit S Chicago,IL60607–West Loop,Studio,1,2005,550,3.6454545454545455,80,
737 W Washington Blvd Unit 905 Chicago,IL60661–Fulton Market,1,1.5,2950,904,3.2632743362831858,92,
842 W Adams St Unit 003A Chicago,IL60607–West Loop,2,1.5,2495,1200,2.0791666666666666,88,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
1360 W Hubbard St Unit 3w Chicago,IL60642–West Loop,3,2,4950,1680,2.9464285714285716,74,
235 W Van Buren St Unit 2515 Chicago,IL60607–Chicago Loop,2,2,2995,1031,2.9049466537342385,100,
779 W Adams St 779 W Adams St,Chicago,IL60661–West Loop,2,2,2557,596,4.290268456375839,92,
128 S Green St Chicago,IL60607–West Loop,4,3,7200,,0,90,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
