,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
46,"757 W Liberty St Unit 757 Chicago,IL60607–University Village",2.0,1.0,2200,1010.0,2.1782178217821784,Single Family,64
48,"354 N Union Ave Unit Deluxe One Bedroom Suite #3.1341720 Chicago,IL60661–West Loop",1.0,1.0,12000,700.0,17.142857142857142,Single Family,86
49,"1446 W Lexington St Unit 2 Chicago,IL60607–Little Italy",2.0,1.0,2100,900.0,2.333333333333333,Single Family,71
50,"1061 W Madison St Chicago,IL60607–West Loop",1.0,1.0,2098,738.0,2.8428184281842817,Single Family,82
53,"915 S Loomis St 915 S Loomis St,Chicago,IL60607–Little Italy",5.0,2.0,1500,900.0,1.6666666666666667,Other,70
54,"1140 N Wells St Unit Level Suite.1341678 Chicago,IL60610–South Loop",1.0,1.0,10500,560.0,18.75,Single Family,97
55,"1140 N Wells St Unit Deluxe Two Bedroom Suite #3.1341694 Chicago,IL60610–South Loop",2.0,2.0,16500,1000.0,16.5,Single Family,97
56,"354 N Union Ave Unit Deluxe One Bedroom Suite #6.1341723 Chicago,IL60661–West Loop",1.0,1.0,12000,700.0,17.142857142857142,Single Family,86
57,"1451 W Flournoy St Unit 1W Chicago,IL60607–Little Italy",2.0,1.0,1800,771.0,2.3346303501945527,Single Family,71
58,"213 N Racine Ave Unit #302 Chicago,IL60607–Fulton Market",1.0,1.5,3150,800.0,3.9375,Single Family,75
59,"1224 W Jackson Blvd Unit 1002 Chicago,IL60607–West Loop",2.0,2.0,3529,1041.0,3.3900096061479346,Single Family,76
60,"180 N Ada St Unit FL9-ID726 Chicago,IL60607–Fulton Market",1.0,1.0,3230,545.0,5.926605504587156,Single Family,72
61,"1446 W Lexington St Unit 2 Chicago,IL60607–Little Italy",2.0,1.0,2400,1000.0,2.4,Single Family,71
63,"306 S Halsted St Unit 6 Chicago,IL60661–West Loop",1.0,1.0,1750,640.0,2.734375,Single Family,89
64,"130 S Halsted St Unit 1 Chicago,IL60661–West Loop",2.0,2.0,3459,1005.0,3.4417910447761195,Single Family,90
65,"1000 W Washington Blvd 1000 W Washington Blvd,Chicago,IL60607–Fulton Market",2.0,2.0,2014,539.0,3.7365491651205938,Single Family,82
71,"739 W Madison St 739 W Madison St,Chicago,IL60661–West Loop",3.0,3.0,2089,490.0,4.263265306122449,Other,92
72,"939 W Washington Blvd Unit FL8-ID253 Chicago,IL60607–Fulton Market",1.0,1.0,3000,486.0,6.172839506172839,Single Family,87
73,"501 S Wells St 501 S Wells St,Chicago,IL60607–Chicago Loop",3.0,2.0,1750,407.0,4.2997542997543,Other,100
74,"354 N Union Ave Unit Deluxe One Bedroom Suite #1.1341718 Chicago,IL60661–West Loop",1.0,1.0,12000,700.0,17.142857142857142,Single Family,86
75,"354 N Union Ave Unit Junior Two Bedroom Suite #3.1341701 Chicago,IL60661–West Loop",2.0,2.0,14400,850.0,16.941176470588236,Single Family,86
76,"175 N Halsted St 175 N Halsted St,Chicago,IL60661–Fulton Market",2.0,2.0,2000,522.0,3.8314176245210727,Single Family,87
77,"37 N Morgan St 37 N Morgan St,Chicago,IL60607–Fulton Market",2.0,2.0,2627,622.0,4.223472668810289,Single Family,82
